1;0;1;interference;corr QRS Vr;corr QRS Vl;corr QRS Vf;corr QRS V1;corr QRS V2;corr QRS V3;corr QRS V4;corr QRS V5;corr QRS V6;corr Twave Vr;corr Twave  Vl;corr Twave  Vf;corr Twave  V1;corr Twave  V2;corr Twave  V3;corr Twave  V4;corr Twave  V5;corr Twave  V6;;;;;;;;;
;;;;99;93;91;98;98;99;92;99;99;97;89;93;94;98;98;98;92;94;;;;;;;;;
;;;;1;11;14;2;2;1;27;2;4;3;11;9;11;2;1;2;13;7;;;;;;;;;
1;0;4;0;100;88;84;100;99;99;97;100;99;98;70;97;96;95;97;98;94;96;;;;;;;;;
1;1;0;0;100;89;91;100;99;99;98;100;100;98;73;96;97;95;97;98;95;97;;;;;;;;;
1;1;4;0;99;62;89;98;94;98;100;98;100;98;83;82;99;99;98;96;51;98;;;;;;;;;
1;2;3;0;99;87;91;99;93;99;100;94;100;98;86;72;99;99;98;96;47;97;;;;;;;;;
1;3;2;0;100;92;97;97;97;99;100;100;100;92;68;74;89;97;97;96;96;97;;;;;;;;;
1;4;0;0;100;97;99;99;97;99;100;100;100;85;51;62;91;98;98;95;91;90;;;;;;;;;
1;4;1;0;100;99;99;98;100;100;100;100;100;99;96;99;99;96;99;100;100;100;;;;;;;;;
2;0;1;1;100;99;99;98;100;100;100;100;100;99;97;99;99;97;98;100;100;99;;;;;;;;;
2;0;4;1;97;95;62;95;97;100;100;100;99;99;83;99;56;98;99;99;99;99;;;;;;;;;
2;1;0;1;97;96;66;94;97;100;100;100;99;99;84;99;55;98;99;99;99;99;;;;;;;;;
2;1;4;1;100;100;99;100;97;97;86;100;100;99;99;99;99;100;98;98;98;99;;;;;;;;;
2;2;3;1;100;100;99;100;97;97;87;100;100;99;99;99;100;100;98;98;98;99;;;;;;;;;
2;3;2;1;99;98;99;95;99;99;98;100;100;93;98;98;98;98;98;92;78;98;;;;;;;;;
2;4;0;1;99;98;99;96;99;99;98;100;100;93;98;98;99;98;98;93;78;98;;;;;;;;;
2;4;1;1;100;97;100;100;98;96;100;100;100;98;93;96;99;99;99;97;98;96;;;;;;;;;
3;0;1;1;100;96;100;100;98;96;100;100;100;97;93;95;99;99;99;97;97;94;;;;;;;;;
3;0;4;1;100;71;99;98;99;99;100;100;100;93;91;84;97;99;100;99;98;92;;;;;;;;;
3;1;0;1;100;56;99;98;99;99;100;100;100;96;89;88;97;99;100;99;99;96;;;;;;;;;
3;1;4;1;100;96;100;100;100;98;100;100;100;99;84;99;99;100;99;99;99;99;;;;;;;;;
3;2;3;1;100;96;100;100;100;98;100;100;100;99;85;99;99;100;99;99;99;99;;;;;;;;;
3;3;2;1;96;97;61;98;95;96;-28;100;100;99;99;99;99;99;99;96;84;94;;;;;;;;;
3;4;0;1;96;98;87;98;96;97;19;98;99;99;100;99;99;99;100;98;89;86;;;;;;;;;
3;4;1;1;99;98;96;93;99;100;100;100;99;99;91;96;99;99;98;99;100;100;;;;;;;;;
4;0;1;0;99;99;97;97;97;100;100;100;99;99;86;96;100;99;98;99;99;100;;;;;;;;;
4;0;4;0;100;100;47;99;100;99;100;100;100;99;97;99;93;100;99;100;100;99;;;;;;;;;
4;1;0;0;100;100;71;99;100;99;100;100;100;99;95;99;93;99;99;100;100;99;;;;;;;;;
4;1;4;0;97;99;99;98;98;99;99;93;85;96;85;92;94;92;95;96;88;85;;;;;;;;;
4;2;3;0;97;99;99;98;97;99;99;94;84;96;84;91;93;95;96;95;87;83;;;;;;;;;
4;3;2;0;98;99;97;97;99;98;99;100;99;94;98;98;88;98;99;99;98;72;;;;;;;;;
4;4;0;0;98;99;97;96;99;99;99;100;99;94;98;98;89;98;99;99;98;72;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;0;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;2;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;2;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;3;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;0;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;3;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;0;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
